Product ID,Category,Product Name,Description,Price (INR),Photo URL
P0001,Tops,Maroon Cotton Ruffle Top,"A relaxed fit ruffle top crafted in soft cotton fabric, featuring a flattering silhouette. Perfect for weekend brunches, this maroon piece pairs easily with your everyday wardrobe.",849,https://picsum.photos/seed/P0001/500/650
P0002,Tops,Maroon Rayon Shirt Blouse,"A tailored fit shirt blouse crafted in soft rayon fabric, featuring delicate embroidery. Perfect for casual outings, this maroon piece pairs easily with your everyday wardrobe.",729,https://picsum.photos/seed/P0002/500/650
P0003,Tops,Blush Pink Linen Bodysuit,"A loose fit bodysuit crafted in soft linen fabric, featuring gathered detailing. Perfect for casual outings, this blush pink piece pairs easily with your everyday wardrobe.",999,https://picsum.photos/seed/P0003/500/650
P0004,Tops,Peach Polyester Blend Crop Top,"A tailored fit crop top crafted in soft polyester blend fabric, featuring breathable fabric. Perfect for layering, this peach piece pairs easily with your everyday wardrobe.",509,https://picsum.photos/seed/P0004/500/650
P0005,Tops,Olive Polyester Blend Tunic Top,"A relaxed fit tunic top crafted in soft polyester blend fabric, featuring a flattering silhouette. Perfect for festive occasions, this olive piece pairs easily with your everyday wardrobe.",1359,https://picsum.photos/seed/P0005/500/650
P0006,Tops,Maroon Rayon Halter Top,"A regular fit halter top crafted in soft rayon fabric, featuring intricate zari work. Perfect for everyday wear, this maroon piece pairs easily with your everyday wardrobe.",1169,https://picsum.photos/seed/P0006/500/650
P0007,Tops,White Satin Bodysuit,"A regular fit bodysuit crafted in soft satin fabric, featuring a subtle sheen. Perfect for wedding functions, this white piece pairs easily with your everyday wardrobe.",1249,https://picsum.photos/seed/P0007/500/650
P0008,Tops,Magenta Chiffon Shirt Blouse,"A slim fit shirt blouse crafted in soft chiffon fabric, featuring delicate embroidery. Perfect for office wear, this magenta piece pairs easily with your everyday wardrobe.",1079,https://picsum.photos/seed/P0008/500/650
P0009,Tops,Emerald Green Rayon Cold Shoulder Top,"A slim fit cold shoulder top crafted in soft rayon fabric, featuring minimal styling. Perfect for office wear, this emerald green piece pairs easily with your everyday wardrobe.",1209,https://picsum.photos/seed/P0009/500/650
P0010,Tops,Wine Chiffon Peplum Top,"A relaxed fit peplum top crafted in soft chiffon fabric, featuring a flattering silhouette. Perfect for everyday wear, this wine piece pairs easily with your everyday wardrobe.",1179,https://picsum.photos/seed/P0010/500/650
P0011,Tops,Navy Georgette Bodysuit,"A slim fit bodysuit crafted in soft georgette fabric, featuring a comfortable stretch. Perfect for festive occasions, this navy piece pairs easily with your everyday wardrobe.",1469,https://picsum.photos/seed/P0011/500/650
P0012,Tops,Beige Linen Tie-Front Top,"A relaxed fit tie-front top crafted in soft linen fabric, featuring a flattering silhouette. Perfect for casual outings, this beige piece pairs easily with your everyday wardrobe.",579,https://picsum.photos/seed/P0012/500/650
P0013,Tops,Charcoal Grey Polyester Blend Button-Down Shirt,"A regular fit button-down shirt crafted in soft polyester blend fabric, featuring contrast piping. Perfect for weekend brunches, this charcoal grey piece pairs easily with your everyday wardrobe.",1299,https://picsum.photos/seed/P0013/500/650
P0014,Tops,Blush Pink Satin Halter Top,"A tailored fit halter top crafted in soft satin fabric, featuring breathable fabric. Perfect for festive occasions, this blush pink piece pairs easily with your everyday wardrobe.",849,https://picsum.photos/seed/P0014/500/650
P0015,Tops,Sky Blue Crepe Ruffle Top,"A loose fit ruffle top crafted in soft crepe fabric, featuring contrast piping. Perfect for wedding functions, this sky blue piece pairs easily with your everyday wardrobe.",1519,https://picsum.photos/seed/P0015/500/650
P0016,Tops,Rust Orange Linen Peplum Top,"A loose fit peplum top crafted in soft linen fabric, featuring a subtle sheen. Perfect for date nights, this rust orange piece pairs easily with your everyday wardrobe.",619,https://picsum.photos/seed/P0016/500/650
P0017,Tops,Maroon Georgette Tie-Front Top,"A slim fit tie-front top crafted in soft georgette fabric, featuring contrast piping. Perfect for wedding functions, this maroon piece pairs easily with your everyday wardrobe.",659,https://picsum.photos/seed/P0017/500/650
P0018,Tops,Lavender Polyester Blend Shirt Blouse,"A tailored fit shirt blouse crafted in soft polyester blend fabric, featuring breathable fabric. Perfect for travel, this lavender piece pairs easily with your everyday wardrobe.",519,https://picsum.photos/seed/P0018/500/650
P0019,Tops,Maroon Crepe Sleeveless Top,"A relaxed fit sleeveless top crafted in soft crepe fabric, featuring breathable fabric. Perfect for office wear, this maroon piece pairs easily with your everyday wardrobe.",1609,https://picsum.photos/seed/P0019/500/650
P0020,Tops,Olive Satin Wrap Top,"A relaxed fit wrap top crafted in soft satin fabric, featuring hand-block prints. Perfect for travel, this olive piece pairs easily with your everyday wardrobe.",1789,https://picsum.photos/seed/P0020/500/650
P0021,Tops,Maroon Crepe Cold Shoulder Top,"A loose fit cold shoulder top crafted in soft crepe fabric, featuring a flattering silhouette. Perfect for layering, this maroon piece pairs easily with your everyday wardrobe.",889,https://picsum.photos/seed/P0021/500/650
P0022,Tops,Rust Orange Georgette Bodysuit,"A loose fit bodysuit crafted in soft georgette fabric, featuring contrast piping. Perfect for casual outings, this rust orange piece pairs easily with your everyday wardrobe.",1319,https://picsum.photos/seed/P0022/500/650
P0023,Tops,Teal Cotton Off-Shoulder Top,"A relaxed fit off-shoulder top crafted in soft cotton fabric, featuring a flattering silhouette. Perfect for evening parties, this teal piece pairs easily with your everyday wardrobe.",639,https://picsum.photos/seed/P0023/500/650
P0024,Tops,Sky Blue Rayon Off-Shoulder Top,"A tailored fit off-shoulder top crafted in soft rayon fabric, featuring gathered detailing. Perfect for office wear, this sky blue piece pairs easily with your everyday wardrobe.",819,https://picsum.photos/seed/P0024/500/650
P0025,Tops,Mustard Satin Bodysuit,"A slim fit bodysuit crafted in soft satin fabric, featuring gathered detailing. Perfect for evening parties, this mustard piece pairs easily with your everyday wardrobe.",1579,https://picsum.photos/seed/P0025/500/650
P0026,Tops,Blush Pink Linen Ruffle Top,"A relaxed fit ruffle top crafted in soft linen fabric, featuring a relaxed drape. Perfect for wedding functions, this blush pink piece pairs easily with your everyday wardrobe.",1449,https://picsum.photos/seed/P0026/500/650
P0027,Tops,Wine Satin Off-Shoulder Top,"A slim fit off-shoulder top crafted in soft satin fabric, featuring a subtle sheen. Perfect for weekend brunches, this wine piece pairs easily with your everyday wardrobe.",1359,https://picsum.photos/seed/P0027/500/650
P0028,Tops,Black Linen Shirt Blouse,"A slim fit shirt blouse crafted in soft linen fabric, featuring a subtle sheen. Perfect for casual outings, this black piece pairs easily with your everyday wardrobe.",649,https://picsum.photos/seed/P0028/500/650
P0029,Tops,Sky Blue Rayon Wrap Blouse,"A regular fit wrap blouse crafted in soft rayon fabric, featuring a subtle sheen. Perfect for everyday wear, this sky blue piece pairs easily with your everyday wardrobe.",1809,https://picsum.photos/seed/P0029/500/650
P0030,Tops,Sky Blue Crepe Tie-Front Top,"A tailored fit tie-front top crafted in soft crepe fabric, featuring gathered detailing. Perfect for weekend brunches, this sky blue piece pairs easily with your everyday wardrobe.",829,https://picsum.photos/seed/P0030/500/650
P0031,Tops,Royal Blue Satin Crop Top,"A tailored fit crop top crafted in soft satin fabric, featuring a flattering silhouette. Perfect for wedding functions, this royal blue piece pairs easily with your everyday wardrobe.",739,https://picsum.photos/seed/P0031/500/650
P0032,Tops,Maroon Polyester Blend Tunic Top,"A tailored fit tunic top crafted in soft polyester blend fabric, featuring a comfortable stretch. Perfect for wedding functions, this maroon piece pairs easily with your everyday wardrobe.",629,https://picsum.photos/seed/P0032/500/650
P0033,Tops,Maroon Cotton Halter Top,"A relaxed fit halter top crafted in soft cotton fabric, featuring a flattering silhouette. Perfect for office wear, this maroon piece pairs easily with your everyday wardrobe.",989,https://picsum.photos/seed/P0033/500/650
P0034,Tops,Blush Pink Satin Peplum Top,"A tailored fit peplum top crafted in soft satin fabric, featuring breathable fabric. Perfect for festive occasions, this blush pink piece pairs easily with your everyday wardrobe.",1679,https://picsum.photos/seed/P0034/500/650
P0035,Tops,Sky Blue Rayon Puff Sleeve Top,"A loose fit puff sleeve top crafted in soft rayon fabric, featuring delicate embroidery. Perfect for office wear, this sky blue piece pairs easily with your everyday wardrobe.",1879,https://picsum.photos/seed/P0035/500/650
P0036,Tops,Black Rayon Wrap Blouse,"A slim fit wrap blouse crafted in soft rayon fabric, featuring minimal styling. Perfect for festive occasions, this black piece pairs easily with your everyday wardrobe.",1739,https://picsum.photos/seed/P0036/500/650
P0037,Tops,Teal Linen Cold Shoulder Top,"A tailored fit cold shoulder top crafted in soft linen fabric, featuring hand-block prints. Perfect for casual outings, this teal piece pairs easily with your everyday wardrobe.",1469,https://picsum.photos/seed/P0037/500/650
P0038,Tops,Black Polyester Blend Button-Down Shirt,"A tailored fit button-down shirt crafted in soft polyester blend fabric, featuring minimal styling. Perfect for evening parties, this black piece pairs easily with your everyday wardrobe.",1739,https://picsum.photos/seed/P0038/500/650
P0039,Tops,Mustard Linen Button-Down Shirt,"A slim fit button-down shirt crafted in soft linen fabric, featuring contrast piping. Perfect for casual outings, this mustard piece pairs easily with your everyday wardrobe.",1879,https://picsum.photos/seed/P0039/500/650
P0040,Tops,White Chiffon Wrap Top,"A regular fit wrap top crafted in soft chiffon fabric, featuring a comfortable stretch. Perfect for layering, this white piece pairs easily with your everyday wardrobe.",1779,https://picsum.photos/seed/P0040/500/650
P0041,Tops,Ivory Georgette Wrap Top,"A loose fit wrap top crafted in soft georgette fabric, featuring hand-block prints. Perfect for office wear, this ivory piece pairs easily with your everyday wardrobe.",669,https://picsum.photos/seed/P0041/500/650
P0042,Tops,Magenta Rayon Tie-Front Top,"A slim fit tie-front top crafted in soft rayon fabric, featuring a subtle sheen. Perfect for wedding functions, this magenta piece pairs easily with your everyday wardrobe.",1129,https://picsum.photos/seed/P0042/500/650
P0043,Tops,Royal Blue Cotton Shirt Blouse,"A regular fit shirt blouse crafted in soft cotton fabric, featuring a relaxed drape. Perfect for wedding functions, this royal blue piece pairs easily with your everyday wardrobe.",1829,https://picsum.photos/seed/P0043/500/650
P0044,Tops,Charcoal Grey Crepe Crop Top,"A relaxed fit crop top crafted in soft crepe fabric, featuring breathable fabric. Perfect for weekend brunches, this charcoal grey piece pairs easily with your everyday wardrobe.",1509,https://picsum.photos/seed/P0044/500/650
P0045,Tops,Mustard Crepe Puff Sleeve Top,"A relaxed fit puff sleeve top crafted in soft crepe fabric, featuring delicate embroidery. Perfect for office wear, this mustard piece pairs easily with your everyday wardrobe.",1669,https://picsum.photos/seed/P0045/500/650
P0046,Tops,Magenta Rayon Off-Shoulder Top,"A loose fit off-shoulder top crafted in soft rayon fabric, featuring gathered detailing. Perfect for weekend brunches, this magenta piece pairs easily with your everyday wardrobe.",1169,https://picsum.photos/seed/P0046/500/650
P0047,Tops,Mustard Chiffon Wrap Blouse,"A regular fit wrap blouse crafted in soft chiffon fabric, featuring intricate zari work. Perfect for weekend brunches, this mustard piece pairs easily with your everyday wardrobe.",1219,https://picsum.photos/seed/P0047/500/650
P0048,Tops,Olive Satin Cold Shoulder Top,"A loose fit cold shoulder top crafted in soft satin fabric, featuring contrast piping. Perfect for evening parties, this olive piece pairs easily with your everyday wardrobe.",1849,https://picsum.photos/seed/P0048/500/650
P0049,Tops,Black Crepe Wrap Blouse,"A regular fit wrap blouse crafted in soft crepe fabric, featuring breathable fabric. Perfect for festive occasions, this black piece pairs easily with your everyday wardrobe.",789,https://picsum.photos/seed/P0049/500/650
P0050,Tops,Maroon Georgette Button-Down Shirt,"A relaxed fit button-down shirt crafted in soft georgette fabric, featuring a flattering silhouette. Perfect for layering, this maroon piece pairs easily with your everyday wardrobe.",1369,https://picsum.photos/seed/P0050/500/650
P0051,Dresses,Blush Pink Cotton Midi Dress,"A tailored fit midi dress crafted in soft cotton fabric, featuring delicate embroidery. Perfect for evening parties, this blush pink piece pairs easily with your everyday wardrobe.",1369,https://picsum.photos/seed/P0051/500/650
P0052,Dresses,Coral Cotton A-Line Dress,"A regular fit a-line dress crafted in soft cotton fabric, featuring hand-block prints. Perfect for everyday wear, this coral piece pairs easily with your everyday wardrobe.",2239,https://picsum.photos/seed/P0052/500/650
P0053,Dresses,Olive Knit Jersey Midi Dress,"A tailored fit midi dress crafted in soft knit jersey fabric, featuring delicate embroidery. Perfect for travel, this olive piece pairs easily with your everyday wardrobe.",1469,https://picsum.photos/seed/P0053/500/650
P0054,Dresses,Navy Satin Midi Dress,"A regular fit midi dress crafted in soft satin fabric, featuring contrast piping. Perfect for everyday wear, this navy piece pairs easily with your everyday wardrobe.",1649,https://picsum.photos/seed/P0054/500/650
P0055,Dresses,Coral Satin A-Line Dress,"A relaxed fit a-line dress crafted in soft satin fabric, featuring delicate embroidery. Perfect for everyday wear, this coral piece pairs easily with your everyday wardrobe.",2729,https://picsum.photos/seed/P0055/500/650
P0056,Dresses,Blush Pink Georgette Off-Shoulder Dress,"A regular fit off-shoulder dress crafted in soft georgette fabric, featuring gathered detailing. Perfect for everyday wear, this blush pink piece pairs easily with your everyday wardrobe.",2979,https://picsum.photos/seed/P0056/500/650
P0057,Dresses,Magenta Satin Smock Dress,"A slim fit smock dress crafted in soft satin fabric, featuring hand-block prints. Perfect for festive occasions, this magenta piece pairs easily with your everyday wardrobe.",3009,https://picsum.photos/seed/P0057/500/650
P0058,Dresses,Black Satin Shift Dress,"A relaxed fit shift dress crafted in soft satin fabric, featuring a relaxed drape. Perfect for wedding functions, this black piece pairs easily with your everyday wardrobe.",2169,https://picsum.photos/seed/P0058/500/650
P0059,Dresses,Beige Satin Empire Waist Dress,"A regular fit empire waist dress crafted in soft satin fabric, featuring delicate embroidery. Perfect for wedding functions, this beige piece pairs easily with your everyday wardrobe.",3299,https://picsum.photos/seed/P0059/500/650
P0060,Dresses,Sky Blue Georgette Wrap Maxi Dress,"A tailored fit wrap maxi dress crafted in soft georgette fabric, featuring breathable fabric. Perfect for everyday wear, this sky blue piece pairs easily with your everyday wardrobe.",2059,https://picsum.photos/seed/P0060/500/650
P0061,Dresses,Sky Blue Chiffon Off-Shoulder Dress,"A slim fit off-shoulder dress crafted in soft chiffon fabric, featuring intricate zari work. Perfect for wedding functions, this sky blue piece pairs easily with your everyday wardrobe.",2319,https://picsum.photos/seed/P0061/500/650
P0062,Dresses,Navy Cotton Fit and Flare Dress,"A loose fit fit and flare dress crafted in soft cotton fabric, featuring a relaxed drape. Perfect for wedding functions, this navy piece pairs easily with your everyday wardrobe.",2589,https://picsum.photos/seed/P0062/500/650
P0063,Dresses,Black Crepe Smock Dress,"A relaxed fit smock dress crafted in soft crepe fabric, featuring contrast piping. Perfect for festive occasions, this black piece pairs easily with your everyday wardrobe.",2249,https://picsum.photos/seed/P0063/500/650
P0064,Dresses,White Crepe Tiered Dress,"A tailored fit tiered dress crafted in soft crepe fabric, featuring fine pleating. Perfect for everyday wear, this white piece pairs easily with your everyday wardrobe.",2499,https://picsum.photos/seed/P0064/500/650
P0065,Dresses,Coral Crepe Slip Dress,"A loose fit slip dress crafted in soft crepe fabric, featuring breathable fabric. Perfect for weekend brunches, this coral piece pairs easily with your everyday wardrobe.",1119,https://picsum.photos/seed/P0065/500/650
P0066,Dresses,Coral Chiffon Midi Dress,"A loose fit midi dress crafted in soft chiffon fabric, featuring intricate zari work. Perfect for weekend brunches, this coral piece pairs easily with your everyday wardrobe.",3099,https://picsum.photos/seed/P0066/500/650
P0067,Dresses,Navy Velvet Tiered Dress,"A relaxed fit tiered dress crafted in soft velvet fabric, featuring fine pleating. Perfect for office wear, this navy piece pairs easily with your everyday wardrobe.",2429,https://picsum.photos/seed/P0067/500/650
P0068,Dresses,Ivory Cotton Off-Shoulder Dress,"A tailored fit off-shoulder dress crafted in soft cotton fabric, featuring minimal styling. Perfect for everyday wear, this ivory piece pairs easily with your everyday wardrobe.",2409,https://picsum.photos/seed/P0068/500/650
P0069,Dresses,Peach Satin Bodycon Dress,"A tailored fit bodycon dress crafted in soft satin fabric, featuring a relaxed drape. Perfect for wedding functions, this peach piece pairs easily with your everyday wardrobe.",1789,https://picsum.photos/seed/P0069/500/650
P0070,Dresses,Magenta Cotton Slip Dress,"A loose fit slip dress crafted in soft cotton fabric, featuring breathable fabric. Perfect for casual outings, this magenta piece pairs easily with your everyday wardrobe.",2359,https://picsum.photos/seed/P0070/500/650
P0071,Dresses,Blush Pink Linen Empire Waist Dress,"A loose fit empire waist dress crafted in soft linen fabric, featuring a relaxed drape. Perfect for layering, this blush pink piece pairs easily with your everyday wardrobe.",2539,https://picsum.photos/seed/P0071/500/650
P0072,Dresses,Wine Knit Jersey Skater Dress,"A slim fit skater dress crafted in soft knit jersey fabric, featuring a comfortable stretch. Perfect for travel, this wine piece pairs easily with your everyday wardrobe.",1759,https://picsum.photos/seed/P0072/500/650
P0073,Dresses,Navy Cotton Midi Dress,"A loose fit midi dress crafted in soft cotton fabric, featuring a subtle sheen. Perfect for everyday wear, this navy piece pairs easily with your everyday wardrobe.",2099,https://picsum.photos/seed/P0073/500/650
P0074,Dresses,Emerald Green Georgette Empire Waist Dress,"A slim fit empire waist dress crafted in soft georgette fabric, featuring delicate embroidery. Perfect for festive occasions, this emerald green piece pairs easily with your everyday wardrobe.",1129,https://picsum.photos/seed/P0074/500/650
P0075,Dresses,Sky Blue Knit Jersey Tiered Dress,"A regular fit tiered dress crafted in soft knit jersey fabric, featuring minimal styling. Perfect for date nights, this sky blue piece pairs easily with your everyday wardrobe.",1889,https://picsum.photos/seed/P0075/500/650
P0076,Dresses,Lavender Knit Jersey Slip Dress,"A slim fit slip dress crafted in soft knit jersey fabric, featuring a relaxed drape. Perfect for festive occasions, this lavender piece pairs easily with your everyday wardrobe.",919,https://picsum.photos/seed/P0076/500/650
P0077,Dresses,Maroon Linen Bodycon Dress,"A slim fit bodycon dress crafted in soft linen fabric, featuring a comfortable stretch. Perfect for travel, this maroon piece pairs easily with your everyday wardrobe.",1149,https://picsum.photos/seed/P0077/500/650
P0078,Dresses,Peach Georgette Smock Dress,"A regular fit smock dress crafted in soft georgette fabric, featuring hand-block prints. Perfect for date nights, this peach piece pairs easily with your everyday wardrobe.",3269,https://picsum.photos/seed/P0078/500/650
P0079,Dresses,Ivory Velvet Empire Waist Dress,"A tailored fit empire waist dress crafted in soft velvet fabric, featuring fine pleating. Perfect for layering, this ivory piece pairs easily with your everyday wardrobe.",3479,https://picsum.photos/seed/P0079/500/650
P0080,Dresses,Coral Knit Jersey Smock Dress,"A slim fit smock dress crafted in soft knit jersey fabric, featuring a comfortable stretch. Perfect for date nights, this coral piece pairs easily with your everyday wardrobe.",2219,https://picsum.photos/seed/P0080/500/650
P0081,Dresses,Sky Blue Cotton Empire Waist Dress,"A loose fit empire waist dress crafted in soft cotton fabric, featuring a relaxed drape. Perfect for date nights, this sky blue piece pairs easily with your everyday wardrobe.",2119,https://picsum.photos/seed/P0081/500/650
P0082,Dresses,Beige Knit Jersey Wrap Dress,"A relaxed fit wrap dress crafted in soft knit jersey fabric, featuring breathable fabric. Perfect for weekend brunches, this beige piece pairs easily with your everyday wardrobe.",2609,https://picsum.photos/seed/P0082/500/650
P0083,Dresses,Charcoal Grey Crepe Maxi Dress,"A slim fit maxi dress crafted in soft crepe fabric, featuring minimal styling. Perfect for weekend brunches, this charcoal grey piece pairs easily with your everyday wardrobe.",1679,https://picsum.photos/seed/P0083/500/650
P0084,Dresses,Blush Pink Crepe Slip Dress,"A tailored fit slip dress crafted in soft crepe fabric, featuring gathered detailing. Perfect for everyday wear, this blush pink piece pairs easily with your everyday wardrobe.",3279,https://picsum.photos/seed/P0084/500/650
P0085,Dresses,Coral Chiffon Bodycon Dress,"A tailored fit bodycon dress crafted in soft chiffon fabric, featuring contrast piping. Perfect for wedding functions, this coral piece pairs easily with your everyday wardrobe.",999,https://picsum.photos/seed/P0085/500/650
P0086,Dresses,Royal Blue Linen Skater Dress,"A regular fit skater dress crafted in soft linen fabric, featuring breathable fabric. Perfect for everyday wear, this royal blue piece pairs easily with your everyday wardrobe.",2889,https://picsum.photos/seed/P0086/500/650
P0087,Dresses,Coral Georgette Skater Dress,"A slim fit skater dress crafted in soft georgette fabric, featuring minimal styling. Perfect for evening parties, this coral piece pairs easily with your everyday wardrobe.",3379,https://picsum.photos/seed/P0087/500/650
P0088,Dresses,Black Linen Fit and Flare Dress,"A tailored fit fit and flare dress crafted in soft linen fabric, featuring a comfortable stretch. Perfect for festive occasions, this black piece pairs easily with your everyday wardrobe.",1549,https://picsum.photos/seed/P0088/500/650
P0089,Dresses,Magenta Chiffon Smock Dress,"A tailored fit smock dress crafted in soft chiffon fabric, featuring contrast piping. Perfect for layering, this magenta piece pairs easily with your everyday wardrobe.",1029,https://picsum.photos/seed/P0089/500/650
P0090,Dresses,Navy Linen Maxi Dress,"A tailored fit maxi dress crafted in soft linen fabric, featuring delicate embroidery. Perfect for festive occasions, this navy piece pairs easily with your everyday wardrobe.",2229,https://picsum.photos/seed/P0090/500/650
P0091,Dresses,Lavender Velvet Bodycon Dress,"A tailored fit bodycon dress crafted in soft velvet fabric, featuring intricate zari work. Perfect for everyday wear, this lavender piece pairs easily with your everyday wardrobe.",2839,https://picsum.photos/seed/P0091/500/650
P0092,Dresses,Beige Linen Shirt Dress,"A regular fit shirt dress crafted in soft linen fabric, featuring delicate embroidery. Perfect for date nights, this beige piece pairs easily with your everyday wardrobe.",1159,https://picsum.photos/seed/P0092/500/650
P0093,Dresses,Rust Orange Georgette Off-Shoulder Dress,"A regular fit off-shoulder dress crafted in soft georgette fabric, featuring delicate embroidery. Perfect for casual outings, this rust orange piece pairs easily with your everyday wardrobe.",2159,https://picsum.photos/seed/P0093/500/650
P0094,Dresses,Blush Pink Chiffon Tiered Dress,"A slim fit tiered dress crafted in soft chiffon fabric, featuring hand-block prints. Perfect for weekend brunches, this blush pink piece pairs easily with your everyday wardrobe.",3319,https://picsum.photos/seed/P0094/500/650
P0095,Dresses,Maroon Georgette Skater Dress,"A relaxed fit skater dress crafted in soft georgette fabric, featuring hand-block prints. Perfect for everyday wear, this maroon piece pairs easily with your everyday wardrobe.",1479,https://picsum.photos/seed/P0095/500/650
P0096,Dresses,Olive Cotton Wrap Dress,"A loose fit wrap dress crafted in soft cotton fabric, featuring breathable fabric. Perfect for casual outings, this olive piece pairs easily with your everyday wardrobe.",2819,https://picsum.photos/seed/P0096/500/650
P0097,Dresses,Lavender Georgette Wrap Dress,"A loose fit wrap dress crafted in soft georgette fabric, featuring a subtle sheen. Perfect for weekend brunches, this lavender piece pairs easily with your everyday wardrobe.",2439,https://picsum.photos/seed/P0097/500/650
P0098,Dresses,Magenta Crepe Empire Waist Dress,"A loose fit empire waist dress crafted in soft crepe fabric, featuring intricate zari work. Perfect for casual outings, this magenta piece pairs easily with your everyday wardrobe.",3089,https://picsum.photos/seed/P0098/500/650
P0099,Dresses,Rust Orange Crepe Midi Dress,"A relaxed fit midi dress crafted in soft crepe fabric, featuring minimal styling. Perfect for casual outings, this rust orange piece pairs easily with your everyday wardrobe.",3399,https://picsum.photos/seed/P0099/500/650
P0100,Dresses,Maroon Linen Fit and Flare Dress,"A tailored fit fit and flare dress crafted in soft linen fabric, featuring minimal styling. Perfect for festive occasions, this maroon piece pairs easily with your everyday wardrobe.",1799,https://picsum.photos/seed/P0100/500/650
P0101,Ethnic Wear,Ivory Banarasi Silk Bandhani Saree,"A loose fit bandhani saree crafted in soft banarasi silk fabric, featuring a comfortable stretch. Perfect for date nights, this ivory piece pairs easily with your everyday wardrobe.",5759,https://picsum.photos/seed/P0101/500/650
